oid,name
-5022,Employers EIG Services
-5021,Employer'S Direct Insurance Company
-5020,Employers Compensation Insurance Company
-5019,Employees Retirement System of Texas
-5018,Empire State Development Corporation
-5017,Empire Safety and Supply
-5016,"Emmis Radio, LLC Dba Emmis Marketing Group"
-5015,Emissions Control Technology Association
-5014,EmisonHullverson LLP
-5013,"Eminence Healthcare, Inc."
-5012,Emily's List - NF Fund
-5011,Emily's List
-5010,EMIL NORSIC & SONS
-5009,E M HOLDINGS
-5008,"Emhart Industries, Inc."
-5007,Emeryville Unified School District
-5006,"Emeryville Redevelopment Agency, City Of"
-5005,"Emeryville, City Of"
-5004,Emerson Network Power Liebert
-5003,Emergent BioSolutions
-5002,Emergency Nurses Association
-5001,Emergency Medical Services Administrators Association
-5000,Emerald Grower's Association
-4999,"Emerald Fund, Inc."
-4998,"Emd Serono, Inc."
-4997,Emdeon Corporation
-4996,Ems Consulting
-4995,Emc Corporation
-4994,"Embraer Aircraft Holding, Inc"
-4993,Embassy Ces
-4992,El Toro Reuse Planning Authority
-4991,Elsinore Valley Municipal Water District
-4990,El Segundo Unified School District
-4989,El Rancho San Benito LLC
-4988,El Proyecto del Barrio
-4987,El Paso Firemen & Policemen's Pension Fund
-4986,El Paso Electric Company
-4985,El Paso Corporation
-4984,El Morro Community Association
-4983,El Monte City School District
-4982,Ellucian
-4981,Ellison Wilson Advocacy
-4980,Elliott Management
-4979,Ellis and Wilson Advocacy
-4978,Ellis & Associates
-4977,Ellens Silk Screening
-4976,Ella Baker Center For Human Rights
-4975,Elk Grove Unified School District
-4974,Elk Grove Community Services District
-4973,"Elk Grove, City Of"
-4972,Elk Grove Chamber Of Commerce
-4971,"Elk Grove, CA"
-4970,"Elizabeth Peterson Group, Inc."
-4969,Elite Parking Services of America
-4968,Elisabeth J. P. Sadler
-4967,ELI ROBERTS & SONS
-4966,Eli Lilly & Company Political Action Committee (FEC #C00082792)
-4965,Eli Lilly and Company PAC
-4964,Eli Lilly And Company
-4963,Eli Lilly
-4962,Elevator Industry Work Preservation Fund
-4961,"Elevated, LLC"
-4960,"Elevate Credit Services, LLC"
-4959,Elevate
-4958,"Element Markets Renewable Energy, LLC"
-4957,"Elements Behavioral Health, including Promises Treatment Centers"
-4956,Elements Behavioral Health
-4955,"Els Education Services, Inc."
-4954,Electrum Usa Ltd
-4953,Electronic Frontier Foundation
-4952,Electronic Frontier Federation
-4951,Electronic Data Systems Eds
-4950,Electronic Arts
-4949,"Electrolysis Association of Florida, Inc"
-4948,Electric Supply Co
-4947,Electric Guard Dog
-4946,Electric And Gas Industries Association
-4945,Electrical Contractors Of California Trust
-4944,Election Systems  Software Inc A Delaware Corporation
-4943,Elections Systems & Software
-4942,"Election Integrity Project California, Inc."
-4941,Election Integrity Project
-4940,ELEANOR ROOSEVELT LEGACY CMTE
-4939,El Dorado Hills Incorporation Committee
-4938,El Dorado Enterprises Dba Hustler Casino
-4937,El Dorado County Transportation Commission
-4936,El Dorado County Superintendent Of Schools
-4935,"El Dorado, County Of"
-4934,"El Cerrito, CA"
-4933,El Centro City Of
-4932,El Centro Chamber of Commerce and Visitors Bureau
-4931,El Camino Hospital District
-4930,El Camino Hospital
-4929,El Camino Community College District
-4928,El Cajon City Of
-4927,"ELAP Services, LLC"
-4926,"Eland Energy, Inc."
-4925,EJ Harrison & Sons
-4924,"Eixys Techonolgies, Inc."
-4923,"Eiser Infrastructure Partners, LLP"
-4922,"Eisai, Inc."
-4921,E I Du Pont De Nemours And Company
-4920,EI Dupont De Nemours  Company
-4919,"Ehealth, Inc."
-4918,Egg Farmers Association
-4917,Efunds Corporation
-4916,E. F. Johnson Company
-4915,"Ef International Language Schools, Inc."
-4914,Edward R Ortega A Law Corporation
-4913,Edwards Lifesciences
-4912,Edwards
-4911,Edvoice
-4910,Education Trust West
-4909,Education Trust-West
-4908,Education Reform Now
-4907,EDUCATION PARTNERSHIPS JV
-4906,Education Corporation Of America
-4905,Education Mandated Cost Network (Emcn)
-4904,"Education Management Systems, Inc."
-4903,Education Management LLC
-4902,Education Coalition
-4901,Educational Testing Service
-4900,"Educational Services Of America, Inc."
-4899,Educational Management Services
-4898,Educational Enrichment Systems
-4897,Educational Employees Credit Union
-4896,educational credit management corporation
-4895,"Educational Clinics, Inc."
-4894,Educate Advocate
-4893,"eDriving, LLC"
-4892,"Edpr Na, Llc."
-4891,EDP Renewable North America LLC PAC
-4890,EDP Renewables North America LLC
-4889,EDISON PROPERTIES
-4888,Edison International & Subsidiaries
-4887,"Edison International And Affiliates, Including Southern California Edison"
-4886,Edison International & Affiliated Entities
-4885,Edison International Corporation
-4884,"Edinburgh Partners North America, Inc."
-4883,Edgewood Companies
-4882,"Edgenuity, Inc"
-4881,EDGE COMMUNICATIONS LLC
-4880,EdFund
-4879,EDF Renewable Energy
-4878,EDF Energy Services
-4877,Edesia Asset Management BV
-4876,Eden Youth and Family Center
-4875,Eden Township Healthcare District
-4874,Eden I&R
-4873,EDCO Waste & Recycling Services
-4872,EdChoice
-4871,"Ecotality, Inc."
-4870,Economic Study Group
-4869,Economic Development Corporation Serving Fresno County
-4868,Economic Development Corporation Of Mariposa County
-4867,Economic Development and Justice Giving Circle
-4866,"Ecology and Environment, Inc"
-4865,Ecological Options Network
-4864,Ecolab Inc.
-4863,ECO Consult
-4862,ecoATM Corporation
-4861,Ec Language Centres
-4860,"eBAY, Inc."
-4859,EB&S SOLUTIONS LLC
-4858,"EBAA Iron, Inc. McWane Inc. EJ Iron Works"
-4857,EBAA Iron Inc
-4856,"Eaze Solutions, Inc."
-4855,East Yard Communities for Environmental Justice
-4854,Eastwest Bank
-4853,East Valley Water District
-4852,East Texas Mack Sales
-4851,"East Texas Electric Cooperative, INC."
-4850,Eastside Entrees
-4849,East San Gabriel Valley Regional Occupational Program And Technical Center
-4848,East Orange County Water District
-4847,"Easton Sports, Inc"
-4846,"Easton Bell Sports, Inc"
-4845,Eastman Kodak Company
-4844,Eastman Chemical Company
-4843,East Lodge Capital Partners LLP
-4842,East Los Angeles Community Corporation
-4841,Easterseals Southern California
-4840,Easterseals Central Texas
-4839,Easter Seals
-4838,Eastern Shipbuilding Group
-4837,Eastern Municipal Water District
-4836,EAST COAST POWER
-4835,East Bay Zoological Society
-4834,East Bay Sanitary
-4833,East Bay Rental Housing Association
-4832,East Bay Regional Park District
-4831,East Bay Municipal Utility District
-4830,East Bay Leadership Council
-4829,East Bay Innovations
-4828,East Bay Housing Organization
-4827,East Bay Community Law Center
-4826,East Bay Children's Law Offices
-4825,Earthworks
-4824,Earthwize Recycling
-4823,Earth Tech Inc.
-4822,EARTHSOURCE
-4821,Earth Moving Contractors Association of Texas
-4820,"Earthlink, Inc."
-4819,Earth Justice
-4818,"Early Edge California, A Fiscally Sponsored Project Of Community Initiatives"
-4817,Early Edge California
-4816,"Early Childhood Discovery Centers, Inc."
-4815,Early Care And Education Consortium
-4814,EAN Holdings
-4813,E & J Gallo Winery
-4812,E & B Natural Resources MGMT. CORP.
-4811,E & B Natural Resources Management Corp.
-4810,E&B Natural Resources Management Corporation
-4809,E & B Natural Resources
-4808,Eagle Vine Vineyards & Golf Club
-4807,EAGLE PROPERTIES INC
-4806,Eagle Forum
-4805,Eagle Crest Energy
-4804,"Eachwin Capital, LP"
-4803,E3
-4802,E2 Environmental Entrepreneurs
-4801,Dynegy Inc.
-4800,Dyna Vox Technologies Inc.
-4799,DYAL CONSULTING GROUP INC
-4798,"Dutko Worldwide, LLC For Tutor.com"
-4797,DUTKO POOLE MCKINLEY
-4796,Duraflame Inc.
-4795,DuPont
-4794,Dunn Consulting
-4793,Dunkin Donuts Independent Franchise Owners
-4792,Dunkin Brands
-4791,Dun  Bradstreet Inc
-4790,"Duke Energy Florida, Inc."
-4789,Duke Energy
-4788,Duke American Transmission Company
-4787,Ducks Unlimited Inc
-4786,Dublin Unified School District
-4785,Dublin San Ramon Services District
-4784,"Duarte, City Of"
-4783,DSM Technology Consultants
-4782,"DSM.net, Inc."
-4781,Dsi Civic Financial Restructuring
-4780,"dry creek rancheria, band of pomo indians"
-4779,Dry Creek Rancheria
-4778,Drybar Holdings LLC
-4777,DR Welch Attorneys at Law P.C.
-4776,D. Russell & Associates Inc
-4775,DRUGSTORE UNLIMITED - THE CANADIAN DRUGSTORE LLC
-4774,Drug Policy Alliance Network
-4773,Drug Policy Alliance
-4772,"Dr. Robert M. Theaker, OD"
-4771,DrPepper Snapple Group PAC
-4770,Drowning Prevention Foundation
-4769,Drizly Inc
-4768,Driving School Association Of California Inc.
-4767,Driversed.Com
-4766,Driver's Rights Inc
-4765,"D.R.I.V.E. - Democrat, Republican, Independent Voter Education (The PAC of the International Brotherhood of Teamsters)"
-4764,D.R.I.V.E - Democrat  Republican  Independent Voter Education
-4763,Driscoll Strawberry Associates
-4762,Driscoll's
-4761,"Dr. Gary K. Michelson, M.D."
-4760,"Dreyer, Babich, Buccola, Wood & Campora"
-4759,Dr. Ed Hernandez O.D. Democrat for Senate 2014
-4758,DreamWorks Animation
-4757,Drake's Brewing
-4756,"Draftkings, Inc."
-4755,DPS Inc.
-4754,Downtown Women's Center
-4753,Downtown Womens Action Coalition
-4752,Downtown College Prep
-4751,Downey Regional Medical Center
-4750,Downey City Of
-4749,Downey Brand Attorneys LLP
-4748,"Dow Chemical Company And Its Affiliate Dow Agrosciences, Llc, The"
-4747,dow chemical company
-4746,Dow Agrosciences
-4745,DOVER INTERNATIONAL CO INC.
-4744,Doug Ridenour  Sr. For Modesto City Council
-4743,DOTTIES DELIGHT INC
-4742,Doster and Associates Inc
-4741,Dosal Tobacco Corporation
-4740,"Doral Dental Usa, LLC"
-4739,Doosan Fuelcell America
-4738,Doosan Corporation
-4737,"Don Chapin Company, Inc."
-4736,Donate Life California
-4735,"Donaldson Company, Inc."
-4734,Donald G. Ray & Associates
-4733,Domtar
-4732,"Dominion Systems, Llc."
-4731,Dollar Thrifty Automotive Group Inc.
-4730,Dollar Financial Group
-4729,Dolphin Group The
-4728,Dogpatch LLC
-4727,Dogfight
-4726,"Doddanna Krishna, MD APC"
-4725,DoD
-4724,"Doctors Company, The"
-4723,DOCTORS' COMPANY POLITICAL ACTION COMMITTEE  THE AKA  DOCPAC
-4722,Doctor's Medical Center
-4721,"Doctors Management Company, The"
-4720,DOCTORS CHOICE MEDICAL RENTAL & SUPPLIES
-4719,Doctor
-4718,"Dobson, Craig and Associates"
-4717,Doberman Pinscher Club Of America
-4716,DM INVESTMENT HOLDINGS
-4715,"Dmb San Juan Investment North, LLC"
-4714,"Dmb Pacific Ventures, LLC & Affiliates"
-4713,"Dmb Associates, Inc."
-4712,"DLA PIper, US, LLC"
-4711,"Dji Technology, LLC"
-4710,Diversified Global Asset Management Corporation
-4709,DITMAS MANAGEMENT CORPORATION
-4708,District Hospital Leadership Forum
-4707,District Council 16 Painters and Allied Trades of Northern California
-4706,"District Council 16, Painters and Allied Trades"
-4705,District Council 16
-4704,District Attorney's Office
-4703,District 25
-4702,Distributed Wind Energy Association
-4701,Distilled Spirits Council Of The United States
-4700,Distilled Spirits Council of the US
-4699,Distilled Spirits Council
-4698,Distance Learning Company
-4697,"Disney Worldwide Services, Inc."
-4696,Dish Network Corporation
-4695,Discovery Science Center
-4694,"Discovery Communications, Inc."
-4693,Discover Financial Services
-4692,Disabled Veteran Business Alliance
-4691,Disabled Sports Usa Far West
-4690,Disability Rights of California
-4689,Disability Rights Education and Defense Fund
-4688,Disability Rights Advocate
-4687,Disability Resource Agency for Independent Living
-4686,Disability PAC Sponsored by ACLHIC
-4685,Disability Organizing Group for Initiating Total Equality
-4684,"Directv Group, Inc., The"
-4683,"Directv, LLC"
-4682,"DirectTV, LLC"
-4681,Direct Selling Association
-4680,"Directors Guild Of America, Inc."
-4679,Director
-4678,"Direct Marketing Association, Including Internet Alliance"
-4677,Direct Marketing Association
-4676,Direct Energy US Home Services Inc.
-4675,Direct Energy Services LLC
-4674,Direct Energy Business
-4673,"Direct Energy, LP"
-4672,Direct Comp Rx
-4671,"Direct Buy, Inc."
-4670,Direct Apps Inc. dba Direct Technology
-4669,Diocese of Austin
-4668,Dimensional Fund Advisors
-4667,Dimare Brown Hicks  Kessler LLC
-4666,Di Mare Brown Hicks & Kessler LLC
-4665,DiMarco Araujo & Montevideo
-4664,Dilac Restaurant
-4663,Dignity and Power Now
-4662,DIGIWORKS MEDIA INC
-4661,Digital Risk LLC
-4660,Digimarc Corporation
-4659,Digene Corporation
-4658,Diebold Elections Systems
-4657,"Dick Clark Properties, LLC"
-4656,"Di Buduo & De Fendis Insurance Brokers, LLC"
-4655,DIAMOND TOMATO
-4654,"Diamond Bar, City Of"
-4653,Diagnostic Laboratories
-4652,Diagnostic Lab Corporation
-4651,"Diageo North America, Inc."
-4650,Diageo
-4649,"diablo solar services, inc."
-4648,DH Investment Company
-4647,Dga Associates
-4646,"DGA-PAC, The Political Action Committee of the Directors Guild of America, Inc."
-4645,"Df Properties, Inc."
-4644,Dewey Square Group
-4643,DeVry Education Group
-4642,De Vry Inc
-4641,DEVON ENERGY
-4640,"Devine & Gong, Inc."
-4639,Development Partners International LLP
-4638,Developmental Services Network
-4637,"Development 2000, Inc."
-4636,Deutsche Investment Management Americas Inc.
-4635,Deutsche Bank
-4634,Destination Cinema
-4633,"DeSilva Gates Construction, LP"
-4632,Design Build Institute Of American Western Pacific Chapter
-4631,"D.E. Shaw & Co., L.P."
-4630,D E Shaw  Co LP
-4629,Desert Water Agency
-4628,Desert View Power
-4627,Desert Valley Disposal
-4626,Desert Valleys Builders Association
-4625,Desert Sand USD
-4624,"Desert Hot Springs, The City Of"
-4623,Desert Hot Springs City Of
-4622,"Desert Ambulance Service, Inc."
-4621,Dermazone Solutions 
-4620,Deputy Sheriff's Association of San Diego County
-4619,DEPUTY SHERIFFS ASSOCIATION OF BEXAR COUNTY
-4618,Deputy Sheriffs' Association Of Alameda County
-4617,Deputy Sheriffs' Association
-4616,Deposition Reporters Association Of California
-4615,Deposition Reporters Association
-4614,Department of Veterans Affairs
-4613,Department of Transportation
-4612,Dept of State Health Services
-4611,Department of Savings and Mortgage Lending
-4610,Department of Public Safety Officers Association
-4609,Department of public safety
-4608,Department of Pesticide Regulations
-4607,Department of Motor Vehicles
-4606,Department of Managed Health Care
-4605,Dept. of Justice
-4604,Department of Insurance
-4603,Department of information resources
-4602,Department of Health Care Services
-4601,Department of Financial Services
-4600,Department Of Finance
-4599,Dept of Family and Protective Services
-4598,Department of Developmental Services
-4597,Department of Defense State Liaison Office
-4596,Department of Defense
-4595,Department of Corrections
-4594,Department of Business & Professional Regulation
-4593,"Dentons US, LLP"
-4592,"Denton Record-Chronicle, TExas Press Association, self"
-4591,Denton County MUDs 4 & 5
-4590,"Dentaquest, LLC"
-4589,Dental Surgery Center Coalition
-4588,DENTAL SOCIETY OF GREATER ORLANDO
-4587,DENTAL CARE ALLIANCE
-4586,Dental Board of California
-4585,Dennis and Graci McGillicuddy for the benefit of All Star Children's Home
-4584,Denley Investment And Management
-4583,"Denham Capital Management, LP"
-4582,DENBURY RESOURCES
-4581,"DeNault's Hardware-Home Centers, Inc"
-4580,Democratic State Central Committee of California-SCC
-4579,Democratic Socialists of America
-4578,Democracy Live Inc.
-4577,democracy for america - marin
-4576,DeMenno Kerdoon
-4575,DeMENNO/KERDOON
-4574,"Del Terra Real Estate Services, Inc."
-4573,Delta Wetlands 
-4572,"Delta Troy Interests, Ltd."
-4571,Delta T Corporation D.B.A. Big Ass Solutions
-4570,Delta Managed Solutions
-4569,Delta Kappa Gamma Chi State
-4568,Delta Elementary Charter School
-4567,Delta Education
-4566,Delta Diablo Sanitation District For The Bay Area Biosolids To Energy 
-4565,Delta Diablo Sanitation District
-4564,Delta Dental Of California
-4563,Delta Dental Insurance Company
-4562,Delta Dental
-4561,Delta Charter Schools
-4560,Delta Air Lines Inc.
-4559,Delray Recovery Center
-4558,Del Paso Manor Water District
-4557,"Deloitte Consulting,  LLP"
-4556,Deloitte & Touche LLP
-4555,Deloitte LLP
-4554,"Del Norte, County Of"
-4553,Del Monte Foods
-4552,Del Mar Thoroughbred Club
-4551,"Del Mar Seafoods, Inc."
-4550,Del Mar College/ Texas Association of Community Colleges
-4549,Del Mar City Of
-4548,Dell Inc.
-4547,Delaware North Companies Inc.
-4546,Delano Community Correctional Facility
-4545,Delahousaye & Associates
-4544,Delphis Dba Cirrus Health
-4543,DeHart And Darr Associates On Behalf Of Direct Marketing Association
-4542,Deft Inc.
-4541,Defenders of Wildlife East Bay Regional Park District
-4540,Defenders Of Wildlife
-4539,Deer Isle Capital LLC
-4538,Deere and Company PAC (aka John Deere PAC)
-4537,Deere  Company
-4536,Deep Green Housing And Community Development
-4535,Deep Blue Scuba and Swim Center
-4534,Decoding Dyslexia
-4533,Debtmerica LLC 
-4532,DES Architects
-4531,Deanza Community College
-4530,De Anza College
-4529,De Anza Building & Maintenance
-4528,"Dean Logan, Los Angeles County Registrar-Recorder"
-4527,"DE & O, Inc."
-4526,Dean Cannon PA
-4525,"Dealertrack Registration And Tilting Soultions, Inc."
-4524,Deaf West Theatre
-4523,"Deaf Counseling, Advocacy, & Referral Agency"
-4522,"Deaf and Hard of Hearing Service Center, Inc."
-4521,DDN Enterprise Inc. dba Rocco's Ristorante & Pizzeria
-4520,"DDA Development, LLC"
-4519,"DCP Midstream, LP"
-4518,"Dcm Properties, Inc."
-4517,"Dci, LLC Dba Dci Investments Management, LLC"
-4516,DC CRANE SERVICE INC
-4515,Dba International
-4514,DAYTONA BEVERAGES INC
-4513,Daystar Television Network
-4512,Daylight Adult Health Care Centers
-4511,Davis Waste Removal
-4510,"Davita Total Renal Care, Inc."
-4509,DaVita HealthCare Partners Inc. and Affiliated Entities
-4508,Davita Health Care Partners
-4507,Davita
-4506,Davis Jt. Unified School District
-4505,David T. Caserta Government Relations Inc
-4504,"David R. Custin & Associates, Inc"
-4503,David Nicco And Charles Richardson
-4502,DAVID MILLNER GROUP INC
-4501,David Mills
-4500,David's Legacy Foundation
-4499,David's Legacy
-4498,DAVID JOHNSON GROUP
-4497,David Evans  and Associates  Inc
-4496,David D. Bohannon Organization
-4495,DAVID CUSTIN & ASSOCIATES
-4494,David Arrieta Dba Dna Associates
-4493,David and Margaret Youth and Family Services
-4492,"Davis, CA"
-4491,Daveys Voice
-4490,da vero farms & winery
-4489,"Dave & Buster's, Inc"
-4488,DAV CH 114
-4487,Daughters Of Charity Health System
-4486,Dategrity Corp
-4485,Dataway
-4484,Data Transparency Coalition
-4483,Datastat Online Systems Inc.
-4482,Data Recognition Corporation
-4481,Data and Marketing Association
-4480,Dart Container Corporation
-4479,DARRYL GREENE & ASSOCIATES
-4478,D.A.R.E. America
-4477,"Darden Restaurants, Inc."
-4476,Dannys Farm
-4475,Daniel Cavanaugh  Jr.
-4474,Daniel Boggan Jr.
-4473,D & J SERVICE INC
-4472,D&A Communication
-4471,Dana Capital Group
-4470,"Dana Adobe Nipomo Amigos, Inc."
-4469,Daly City
-4468,Dallas Retired Firefighter Association
-4467,Dallas retired firefighter
-4466,Dallas Police Retired Officers Association
-4465,"Dallas Police Department, Office of the Chief of Police"
-4464,Dallas Police Department
-4463,Dallas Police Association
-4462,Dallas Police & Fire Pension System
-4461,Dallas PD
-4460,DALLAS FIRE FIGHTERS ASSOCIATION
-4459,Dallas Firefighters
-4458,Dallas fire dept.
-4457,Dallas fire
-4456,Dallas County Utility and Reclamation District
-4455,Dallas County Commissioners Court
-4454,Dallas Citizens Council
-4453,Dallas Builders  Association
-4452,DALE TADLOCK ROOFING
-4451,Dale Scott & Company
-4450,Dake Luna
-4449,Daisybill
-4448,Dairy Institute Of California
-4447,Dairy Farmers Of America
-4446,Daimlerchrysler Corporation
-4445,Daimler
-4444,Daily Kos
-4443,"Daily Court Review, Inc."
-4442,Daiichi Sankyo
-4441,"Dai Cheong Trading Company, Inc."
-4440,DADE INJURY REHABILITATION
-4439,Daar & Newman
-4438,Cytyc Corporation
-4437,CYS Structural Engineers
-4436,Cystic Fibrosis Foundation
-4435,Cyrq Energy Inc.
-4434,Cypress Creek Renewables
-4433,Cynergy Consulting LLC
-4432,"C. W. Roberts Contracting, Inc."
-4431,Cwa6132
-4430,CWA/Texas Political and Legislative Committee
-4429,CVS Health
-4428,Cvc Capital Partners Sicav  Fis S.A. And Affiliated Entities
-4427,Cvc Capital Partners Sicav  Fis S.A.
-4426,Cvs Caremark Corporation
-4425,Cv Brokerage Inc
-4424,Cutwater Investor Services Corp.
-4423,Cushman & Wakefield
-4422,Curva and Associates LLC
-4421,Currie Tech Corporation
-4420,Cupertino Union School District
-4419,"Cupertino, City Of"
-4418,"Cunningham Interests II, Ltd."
-4417,Cunningham Engineering
-4416,CUMMINGS ELECTRICAL
-4415,"Cummins & White, LLP"
-4414,Cummins
-4413,Culture and Conflict Forum
-4412,Cultural Care Au Pair
-4411,"Cultivation Technologies, Inc"
-4410,Culligan International Company
-4409,Cullen Legislative Group
-4408,CULPEPPER CONSTRUCTION
-4407,Cudahy City Of
-4406,Cucamonga Valley Water District
-4405,"Cubist Pharmaceuticals, Inc."
-4404,CtiaThe Wireless Association
-4403,CTIA - The Wireless Assn CA PAC
-4402,CTIA-The Wireless Association
-4401,CTIA
-4400,CSU Stanislaus
-4399,CSU Sacramento
-4398,CSU Long Beach
-4397,CSU Fullerton
-4396,CSUS
-4395,Csl Behring
-4394,CSEA Retirees Inc. PAC
-4393,Csac Excess Insurance Authority
-4392,Crystal Solar Inc
-4391,Crystal Insurance
-4390,"Crystal Energy, LLC"
-4389,Crystal Cove Alliance
-4388,Cruise Lines International Association 
-4387,Crown Imports LLC
-4386,Crown Cork  Seal Company
-4385,Crown Cork & Seal Company
-4384,Crown Castle
-4383,"Cross Texas Transmission, LLC"
-4382,CROSS OAK GROUP LLC
-4381,Crosman Corporation
-4380,Croplife America
-4379,Crm Company LLC
-4378,C.R. Laurence Co.
-4377,Crisis Pregnancy Centers
-4376,Crime Victims United Of California
-4375,Crime Victims United California
-4374,Crime Victims United
-4373,CREWS ENVIRONMENTAL
-4372,Crestwood Behavioral Health Inc.
-4371,"Crestline Management,  LP"
-4370,Cresson Crossroads
-4369,CREPAC - California Real Estate PAC
-4368,"Creekside Farming Co., Inc."
-4367,Credit Union of Southern California
-4366,Creative Behavior Interventions Inc.
-4365,Crc Health Group
-4364,Craving Vapor
-4363,Crane Owners Association
-4362,"Cr&R, Inc."
-4361,CRAMER INVESTMENTS LLC
-4360,Craig Lawson & Company
-4359,Craig A. Smith & Associates
-4358,Cradle To Cradle Product Innovation Institute
-4357,"Cpv Sentinel, LLC"
-4356,"CPN CONSTRUCTION FIN CO, LP"
-4355,CPLLC
-4354,Cozen O'Connor
-4353,Coyote Valley Band Of Pomo Indians
-4352,coyoteri
-4351,Cox Communications  Inc.
-4350,Covington & Burling LLP
-4349,Covidien
-4348,Covestro LLC
-4347,Covermymeds
-4346,Covered California
-4345,"Coventry Health Care, Inc."
-4344,"Coventry First, LLC"
-4343,Covenant House
-4342,"Coveler & Katz, PC"
-4341,"Covanta Projects, Inc."
-4340,Covanta Energy
-4339,Court Reporters Board
-4338,Courthouse News Service
-4337,Court Call
-4336,"Courage Campaign, CA"
-4335,County Welfare Directors Association of CA  -sponsor
-4334,County Welfare Directors Association Of California (Cwda)
-4333,County Welfare Directors Association of California
-4332,County Welfare Directors Association
-4331,County Welfare Director
-4330,County Treasurer Association of Texas
-4329,County School Facilities Consortium
-4328,County Sanitation Districts Of Los Angeles County
-4327,County Sanitation Districts of Los Angeles
-4326,County Recorders Association Of California
-4325,"County Of Yuba, And The Yuba County Water Agency"
-4324,"County of Yolo, Board of Supervisors"
-4323,County of Tuolumne
-4322,County Of Stanislaus
-4321,County of Sonoma Board of Supervisors
-4320,County of Santa Cruz Board of Supervisors
-4319,County of Santa Clara Board of Supervisors
-4318,County of Santa Barbara Board of Supervisors
-4317,County of Santa Barbara
-4316,County of Sanitation Districts of Los Angeles County
-4315,County Of San Diego
-4314,County of San Bernardino
-4313,County Of Plumas
-4312,county of placer board of supervisors
-4311,County of Napa
-4310,County of Monterey
-4309,County Of Mono
-4308,County of Marin
-4307,County of Los Angeles Public Health
-4306,County Of Los Angeles District Attorney'S Office
-4305,County of Los Angeles Department of Health Services
-4304,County of Los Angeles Board of Supervisors
-4303,County Of Los Angeles
-4302,County of Kern Board of Supervisors
-4301,County Of Kern
-4300,County Of Del Norte
-4299,County Of Amador
-4298,"County of Alamedas Personnel, Administration and Legislation Committee"
-4297,County of Alpine Board of Supervisors
-4296,County Judges and Commissioner Assn of Tx
-4295,County Judges and Commissioners Association of Texas
-4294,County Health Executives Association Of California
-4293,County Health Executives Association
-4292,County Chairman GOP Collin County
-4291,County Behavioral Health Directors Association of California
-4290,County Behavioral Health Directors Association
-4289,County Association of Governments of San Mateo County
-4288,County and District Clerks Association of Texas
-4287,County & District Clerks Association of Texas
-4286,County and District Clerks Association
-4285,County Alcohol And Drug Program Administrators Association Of California
-4284,Countrywide Financial Corporation
-4283,Countryside Therapy Group
-4282,Counter Balance ATX
-4281,Council on American Islamic Relations
-4280,Council on American-Islamic Relations California
-4279,Council on American-Islamic Relations
-4278,Council Of Uc Faculty Associations
-4277,Council of Infill Builders
-4276,Council Of California Goodwill Industries
-4275,Council Of California County Law Librarians
-4274,Council Of Acupuncture & Oriental Medicine Associations
-4273,"Council For The Economic Development Of Sinaloa, Mexico"
-4272,COUNCIL FOR SENIORS FLORIDIANS
-4271,Council for School Supervisors and Administrators
-4270,Council For Responsible Nutrition
-4269,Council for Cross Cultural Affairs
-4268,Council For Biotechnology Information
-4267,Council for a Strong America
-4266,Council For Adult And Experiential Learning
-4265,Coulomb Technologies
-4264,"Cottonwood Financial Administrative Services, LLC"
-4263,COTTONS ALL LINES INSURANCE INC
-4262,Cotchett  Pitre & McCarthy
-4261,Costco Wholesale Corporation
-4260,"Costa Mesa, City Of"
-4259,Costa Mesa
-4258,"Costa Farms, LLC"
-4257,"Corsiglia, McMahon & Allard, LLP"
-4256,Corridor Recycling
-4255,"Corrective Education Company, LLC"
-4254,"Corrections Corporation of America - CCA of Tennessee, LLC"
-4253,Corrections Corporation Of America
-4252,Correct Care Solutions
-4251,"Corradino Group, The"
-4250,Corpus christi police officers' association
-4249,Corpus Christi Immigration Coalition
-4248,Corona Police Officers Association PAC
-4247,Corona Norco Unified School District
-4246,Coronado Unified School District
-4245,"Coronado, City Of"
-4244,"Corona, City Of"
-4243,Corona-Norco Unified School District
-4242,Corning Incorporated
-4241,Cornerstone Real Estate Advisers LLC
-4240,Cornerstone Procurement Strategies
-4239,Cornerstone OnDemand
-4238,"Cornerstone Government Affairs, LLC"
-4237,Cornerstone Capital Management LLC
-4236,"Cornell Companies, Inc."
-4235,"Corizon Health, Inc."
-4234,Corinthian Colleges Inc.
-4233,"C.O.R.E. Medical Clinic, Inc."
-4232,"CoreLogic, Inc."
-4231,"Core Environmental Reform, Inc."
-4230,"Core Environmental Foundation, Inc."
-4229,"Core Environmental, Inc."
-4228,"CoreCivic, Inc."
-4227,Cordova Recreation And Park District
-4226,Corcoran Unified School District
-4225,Coral Sky Development
-4224,CORAL PARK SERVICE STATION
-4223,CORA HEALTH SERVICES
-4222,COPPERTAIL BREWING CO LLC
-4221,Copart Inc.
-4220,"Coordinated Court Services, Inc."
-4219,Coors Brewing Company
-4218,Cooper White & Cooper
-4217,Cooper Gary S.
-4216,Cooperative Of American Physicians/Mutual Protection Trust
-4215,"Cooperative Of American Physicians, Including The Cooperative Of American Physicians Federal Ie"
-4214,"Cooley, LLP"
-4213,Cook Children's Health Care System
-4212,"Converse International School Of Languages, LLC"
-4211,Convention of States Project
-4210,Convention of States Action
-4209,Convention Of States
-4208,Contractor State License Board
